Date,CashPool,SharesValue,EquityOpen,EquityHigh,EquityLow,EquityClose,EquityPct,EquityGrowth,Drawdown,DrawdownPct,EquityPeak,EquityTrough,DailyStrategyReturn,CumulativeStrategyReturn,WeeklyStrategyReturn,MonthlyStrategyReturn,ComparisonIndexValue,ComparisonIndexPct,StrategyRisk,StrategyRiskPct,NumPositions,SharesPct,CashPct
2013-03-06,1247.1402498093926,19740.275700000002,20696.73550980939,21068.376999809392,20595.457789809392,20987.415949809394,4.93707974904697,1.0493707974904698,0,0,21068.376999809392,21068.376999809392,0.014345540817032765,0.0493707974904698,0.03829065746427651,0.05326673223761347,48.18,9.649522075557583,3042.618449974011,14.497346682651724,6,94.0576760245669,5.9423239754330925
2013-03-07,1247.1402498093926,19545.525709999998,20842.721069809395,21066.24588980939,20575.70723980939,20792.66595980939,3.963329799046951,1.0396332979904694,-2.1311100000020815,-0.010115207260727116,21068.376999809392,20575.70723980939,-0.009279369621574274,0.03963329799046944,0.012761620004932528,0.04472561408687081,48.16,9.604005461993626,3339.4362699740113,16.060645019878077,6,94.00201853759388,5.997981462406109
2013-03-08,1247.1402498093926,19766.62713,20933.14994980939,21138.760879809393,20764.57072980939,21013.767379809393,5.068836899046964,1.0506883689904696,0,0,21138.760879809393,21138.760879809393,0.010633625357487908,0.05068836899046958,0.02848911841012014,0.05076575116947035,48.3,9.922621756941282,3144.686279974011,14.964885749118514,6,94.06512774569077,5.934872254309236
2013-03-11,1247.1402498093926,19717.262669999996,20989.82215980939,21111.742919809392,20735.921049809393,20964.40291980939,4.822014599046943,1.0482201459904694,-27.01796000000104,-0.12781241130272275,21138.760879809393,20735.921049809393,-0.0023491484943073404,0.04822014599046942,0.03326207131218317,0.038154217343334906,48.54,10.468821119708698,3365.7876999740115,16.05477490987191,6,94.05115302076663,5.948846979233367
2013-03-12,1247.1402498093926,19661.6849,20969.228809809396,21154.56696980939,20699.48403980939,20908.825149809392,4.5441257490469615,1.0454412574904697,0,0,21154.56696980939,21154.56696980939,-0.002651054275792486,0.04544125749046968,0.010547158599808482,0.02319051615120915,48.26,9.831588529813382,3316.4232399740117,15.861356227393028,6,94.03534038438902,5.964659615610978
2013-03-13,1247.1402498093926,19501.614139999998,20931.30881980939,21004.925539809392,20564.86999980939,20748.75438980939,3.74377194904695,1.0374377194904696,-149.64142999999967,-0.7073717472617592,21154.56696980939,20564.86999980939,-0.007655655392070693,0.03743771949046959,-0.011371650543866574,0.016078693812803246,47.98,9.194355939918069,3260.84546997401,15.715861341418897,6,93.98932472581623,6.01067527418377
2013-03-14,1247.1402498093926,19240.12044,20809.884389809395,20873.271999809393,20363.540689809393,20487.26068980939,2.4363034490469544,1.0243630344904695,-281.294969999999,-1.3297127301232277,21154.56696980939,20363.540689809393,-0.012602862566459927,0.024363034490469504,-0.01468812467772651,-0.001725755206104962,47.48,8.056440600819299,3100.7747099740113,15.135135716393622,6,93.91260613758024,6.087393862419757
2013-03-15,1247.1402498093926,19575.263030000002,20513.74068980939,20932.069999809395,20431.533019809394,20822.403279809394,4.11201639904697,1.0411201639904697,-222.4969699999965,-1.0517680192533918,21154.56696980939,20363.540689809393,0.016358584735864934,0.041120163990469694,-0.00910660599507096,0.0068763312834374535,48.38,10.104688211197098,2839.281009974011,13.635702717981369,6,94.01058449857855,5.989415501421451
2013-03-18,1247.1402498093926,19041.82861,20511.849629809392,20635.398849809393,20237.003859809392,20288.968859809393,1.444844299046963,1.0144484429904697,-519.1681199999985,-2.4541656690062528,21154.56696980939,20237.003859809392,-0.025618292606850557,0.014448442990469657,-0.032218139604718976,-0.0089684239871205,47.31,7.669549385525727,3174.4235999740113,15.646056839597486,6,93.85311171589473,6.146888284105282
2013-03-19,1247.1402498093926,19072.09973,20427.78668980939,20615.04623980939,20133.34997980939,20319.239979809394,1.5961998990469695,1.0159619989904698,-539.5207300000002,-2.550374728870479,21154.56696980939,20133.34997980939,0.001491998938396799,0.015961998990469795,-0.028197910010518856,0.007146704341570942,47.1,7.191624943104241,2640.9891799740108,12.997480135075332,6,93.86226920372692,6.137730796273077
2013-03-20,1247.1402498093926,19030.57045,20201.178539809393,20453.17924980939,19902.532939809393,20277.71069980939,1.3885534990469568,1.0138855349904696,-701.3877200000024,-3.3155380632512284,21154.56696980939,19902.532939809393,-0.0020438402244015164,0.013885534990469628,-0.022702263526303446,-0.005212956576677863,46.88,6.690942193900786,2671.2602999740106,13.173382042575055,6,93.84969897109187,6.150301028908138
